User,CPU_Time(Hours),GPU_Time(Hours)
user05,0,0
absoumare,0,0
akkouh,0,0
ayoub.laayoun,0,0
bassma.yahia,0,0
hanini,0,0
kasnaoui,0,0
nawfal.benrais,0.439444,0
nrdouhaddou,0,0
oabboudi,0,0
osakri,0,0
rafia.belhajjam,0,0
reda.archa,0,0
rifqui.abdessadek,0,0
salah.elharrauss,0,0
salma.tijani,0,0
user04,0,0
abderrazzak.bajjou,2.45528,2.45528
douae.benhlima,12386.2,3963.21
haffikri,0,0
ikissami,6374.15,770.2
mabouzahi,0,0
maryem.bencharke,0,0
mehdi.abouzahir,0,0
saad.rmail,35.9822,0
user07,0,0
yassine.blali,10.4819,0.609722
aelalaoui,0,0
anass.grini-ext,0,0
ayman.youss,0,0
khmisbah,0,0
mohamed.baghdadi,0,0
mohamed.jarat,0,0
mohammed.elhani,2.99083,0.00111111
mohja,0,0
selwa.elfirdoussi,91.3128,0
soukaina.sghuri,0,0
user06,0,0
